name,rank,lineage
Peribacillus endoradicis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Peribacillus__2675229;s__Peribacillus endoradicis__718002
Limosilactobacillus coleohominis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Limosilactobacillus__2742598;s__Limosilactobacillus coleohominis__181675
Hapalosiphon sp. IAM M-264,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Nostocales__1161;f__Hapalosiphonaceae__1892263;g__Hapalosiphon__162985;s__Hapalosiphon sp. IAM M-264__210998
Jonesia denitrificans,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Jonesiaceae__85022;g__Jonesia__43673;s__Jonesia denitrificans__43674
Nesterenkonia sp. YIM 90725,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Nesterenkonia__57494;s__Nesterenkonia sp. YIM 90725__417223
Trigonala,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;g__Trigonala__386607
Marinococcus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Marinococcus__1370
Oceanobacillus profundus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Oceanobacillus__182709;s__Oceanobacillus profundus__372463
Pediococcus ethanolidurans,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Pediococcus__1253;s__Pediococcus ethanolidurans__319653
Desulfurobacteriales,order,sk__Bacteria__2;p__Aquificota__200783;c__Aquificae__187857;o__Desulfurobacteriales__1485951
Clostridium cochlearium,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Clostridium__1485;s__Clostridium cochlearium__1494
Chlorobaculum,genus,sk__Bacteria__2;p__Chlorobiota__1090;c__Chlorobiia__191410;o__Chlorobiales__191411;f__Chlorobiaceae__191412;g__Chlorobaculum__256319
Streptomyces aculeolatus,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kitasatosporales__85011;f__Streptomycetaceae__2062;g__Streptomyces__1883;s__Streptomyces aculeolatus__270689
Hydrotalea flava,species,sk__Bacteria__2;p__Bacteroidota__976;c__Chitinophagia__1853228;o__Chitinophagales__1853229;f__Chitinophagaceae__563835;g__Hydrotalea__1004300;s__Hydrotalea flava__714549
Microcoleus,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Oscillatoriales__1150;f__Microcoleaceae__1892252;g__Microcoleus__44471
Thermovibrio,genus,sk__Bacteria__2;p__Aquificota__200783;c__Aquificae__187857;o__Desulfurobacteriales__1485951;f__Desulfurobacteriaceae__558314;g__Thermovibrio__171868
Paenarthrobacter aurescens,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Paenarthrobacter__1742992;s__Paenarthrobacter aurescens__43663
Gallionella,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Nitrosomonadales__32003;f__Gallionellaceae__90627;g__Gallionella__96
Kineosporia rhamnosa,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kineosporiales__622452;f__Kineosporiaceae__83778;g__Kineosporia__49184;s__Kineosporia rhamnosa__84634
Azospirillum halopraeferens,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodospirillales__204441;f__Azospirillaceae__2829815;g__Azospirillum__191;s__Azospirillum halopraeferens__34010
Sphingobacterium sp. 21,species,sk__Bacteria__2;p__Bacteroidota__976;c__Sphingobacteriia__117747;o__Sphingobacteriales__200666;f__Sphingobacteriaceae__84566;g__Sphingobacterium__28453;s__Sphingobacterium sp. 21__743722
Chlorobaculum tepidum,species,sk__Bacteria__2;p__Chlorobiota__1090;c__Chlorobiia__191410;o__Chlorobiales__191411;f__Chlorobiaceae__191412;g__Chlorobaculum__256319;s__Chlorobaculum tepidum__1097
Desulfurella kamchatkensis,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Desulfurellia__3031853;o__Desulfurellales__213113;f__Desulfurellaceae__117942;g__Desulfurella__33001;s__Desulfurella kamchatkensis__79270
Jonesiaceae,family,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Jonesiaceae__85022
secondary endosymbiont of Heteropsylla cubana,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;s__secondary endosymbiont of Heteropsylla cubana__134287
Waddliaceae,family,sk__Bacteria__2;p__Chlamydiota__204428;c__Chlamydiia__204429;o__Parachlamydiales__1963360;f__Waddliaceae__92714
Halomonas halophila,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Halomonadaceae__28256;g__Halomonas__2745;s__Halomonas halophila__29573
Rippkaea orientalis,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Chroococcales__1118;f__Aphanothecaceae__1890450;g__Rippkaea__2546365;s__Rippkaea orientalis__2546366
Nocardia brevicatena,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Nocardiaceae__85025;g__Nocardia__1817;s__Nocardia brevicatena__37327
Hydrogenovibrio,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Piscirickettsiaceae__135616;g__Hydrogenovibrio__28884
Pseudalkalibacillus decolorationis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Pseudalkalibacillus__2893058;s__Pseudalkalibacillus decolorationis__163879
gamma proteobacterium HTCC234,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;s__gamma proteobacterium HTCC234__198022
Rahnella inusitata,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Yersiniaceae__1903411;g__Rahnella__34037;s__Rahnella inusitata__58169
Sulfurospirillum multivorans,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Sulfurospirillaceae__2932623;g__Sulfurospirillum__57665;s__Sulfurospirillum multivorans__66821
Polaribacter atrinae,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Flavobacteriaceae__49546;g__Polaribacter__52959;s__Polaribacter atrinae__1333662
Flavobacterium soli,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Flavobacteriaceae__49546;g__Flavobacterium__237;s__Flavobacterium soli__344881
Alcanivorax sp. NBRC 101095,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Alcanivoracaceae__224372;g__Alcanivorax__59753;s__Alcanivorax sp. NBRC 101095__1113725
Blattabacterium punctulatus,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Blattabacteriaceae__39782;g__Blattabacterium__34098;s__Blattabacterium punctulatus__164514
Liquorilactobacillus sucicola,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Liquorilactobacillus__2767888;s__Liquorilactobacillus sucicola__519050
Pelodictyon phaeoclathratiforme,species,sk__Bacteria__2;p__Chlorobiota__1090;c__Chlorobiia__191410;o__Chlorobiales__191411;f__Chlorobiaceae__191412;g__Pelodictyon__1099;s__Pelodictyon phaeoclathratiforme__34090
Candidatus Mycoplasma haematominutum,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Mycoplasmatales__2085;f__Mycoplasmataceae__2092;g__Mycoplasma__2093;s__Candidatus Mycoplasma haematominutum__209446
[Mycoplasma] mobile,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mesomycoplasma__2923352;s__[Mycoplasma] mobile__2118
Oenococcus oeni,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Oenococcus__46254;s__Oenococcus oeni__1247
Porphyromonas gingivicanis,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Porphyromonadaceae__171551;g__Porphyromonas__836;s__Porphyromonas gingivicanis__266762
Chlorobium ferrooxidans,species,sk__Bacteria__2;p__Chlorobiota__1090;c__Chlorobiia__191410;o__Chlorobiales__191411;f__Chlorobiaceae__191412;g__Chlorobium__1091;s__Chlorobium ferrooxidans__84205
Azotobacter armeniacus,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Pseudomonadaceae__135621;g__Azotobacter__352;s__Azotobacter armeniacus__270345
Alicyclobacillus acidocaldarius,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Alicyclobacillaceae__186823;g__Alicyclobacillus__29330;s__Alicyclobacillus acidocaldarius__405212
Caldisericota,phylum,sk__Bacteria__2;p__Caldisericota__67814
Flavobacterium granuli,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Flavobacteriaceae__49546;g__Flavobacterium__237;s__Flavobacterium granuli__280093
Rummeliibacillus pycnus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Planococcaceae__186818;g__Rummeliibacillus__648802;s__Rummeliibacillus pycnus__101070
Thermovibrio ammonificans,species,sk__Bacteria__2;p__Aquificota__200783;c__Aquificae__187857;o__Desulfurobacteriales__1485951;f__Desulfurobacteriaceae__558314;g__Thermovibrio__171868;s__Thermovibrio ammonificans__228745
Chishuiella,genus,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Weeksellaceae__2762318;g__Chishuiella__1572663
Aneurinibacillus terranovensis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Aneurinibacillus__55079;s__Aneurinibacillus terranovensis__278991
Nocardiopsis lucentensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Streptosporangiales__85012;f__Nocardiopsaceae__83676;g__Nocardiopsis__2013;s__Nocardiopsis lucentensis__53441
Oenococcus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Oenococcus__46254
Hydrogenovibrio kuenenii,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Piscirickettsiaceae__135616;g__Hydrogenovibrio__28884;s__Hydrogenovibrio kuenenii__63658
Thauera butanivorans,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Rhodocyclales__206389;f__Zoogloeaceae__2008794;g__Thauera__33057;s__Thauera butanivorans__86174
Rickettsia montanensis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rickettsiales__766;f__Rickettsiaceae__775;g__Rickettsia__780;s__Rickettsia montanensis__33991
Neorickettsia sennetsu,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rickettsiales__766;f__Anaplasmataceae__942;g__Neorickettsia__33993;s__Neorickettsia sennetsu__951
Nocardiopsis sp. YIM 80186,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Streptosporangiales__85012;f__Nocardiopsaceae__83676;g__Nocardiopsis__2013;s__Nocardiopsis sp. YIM 80186__424769
Treponema calligyrum,species,sk__Bacteria__2;p__Spirochaetota__203691;c__Spirochaetia__203692;o__Spirochaetales__136;f__Treponemataceae__2845253;g__Treponema__157;s__Treponema calligyrum__174923
Thermanaerovibrio velox,species,sk__Bacteria__2;p__Synergistota__508458;c__Synergistia__649775;o__Synergistales__649776;f__Synergistaceae__649777;g__Thermanaerovibrio__81461;s__Thermanaerovibrio velox__108007
Nocardia sp. CPCC202701,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Nocardiaceae__85025;g__Nocardia__1817;s__Nocardia sp. CPCC202701__589391
Lactobacillus sp. NBRC 107179,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Lactobacillus__1578;s__Lactobacillus sp. NBRC 107179__1114002
Streptomyces purpureus,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kitasatosporales__85011;f__Streptomycetaceae__2062;g__Streptomyces__1883;s__Streptomyces purpureus__1951
[Mycoplasma] collis,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mesomycoplasma__2923352;s__[Mycoplasma] collis__2127
Desulfocicer,genus,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfobacteria__3024418;o__Desulfobacterales__213118;f__Desulfobacteraceae__213119;g__Desulfocicer__2904316
Caldisericaceae,family,sk__Bacteria__2;p__Caldisericota__67814;c__Caldisericia__693071;o__Caldisericales__693072;f__Caldisericaceae__693073
Candidatus Profftella armatura,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;g__Candidatus Profftella__1381133;s__Candidatus Profftella armatura__669502
Weissella sp. NBRC 107219,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Weissella__46255;s__Weissella sp. NBRC 107219__1114042
Mycoplasmopsis anatis,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mycoplasmopsis__2767358;s__Mycoplasmopsis anatis__171279
Blattabacterium sp.,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Blattabacteriaceae__39782;g__Blattabacterium__34098;s__Blattabacterium sp.__39768
Sporohalobacter lortetii,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Halanaerobiales__53433;f__Halobacteroidaceae__53434;g__Sporohalobacter__973;s__Sporohalobacter lortetii__974
Frankia sp. EAN1pec,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Frankiales__85013;f__Frankiaceae__74712;g__Frankia__1854;s__Frankia sp. EAN1pec__298653
Sulfurospirillum deleyianum,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Sulfurospirillaceae__2932623;g__Sulfurospirillum__57665;s__Sulfurospirillum deleyianum__65553
Porphyromonas gulae,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Porphyromonadaceae__171551;g__Porphyromonas__836;s__Porphyromonas gulae__111105
Allocoleopsis,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Coleofasciculales__3079753;f__Coleofasciculaceae__1892251;g__Allocoleopsis__2886347
Rhodococcus maanshanensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Nocardiaceae__85025;g__Rhodococcus__1827;s__Rhodococcus maanshanensis__183556
Chishuiella changwenlii,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Weeksellaceae__2762318;g__Chishuiella__1572663;s__Chishuiella changwenlii__1434701
Mesomycoplasma flocculare,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mesomycoplasma__2923352;s__Mesomycoplasma flocculare__2128
Gallionella capsiferriformans,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Nitrosomonadales__32003;f__Gallionellaceae__90627;g__Gallionella__96;s__Gallionella capsiferriformans__370405
Fischerella sp. PCC 9605,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Nostocales__1161;f__Hapalosiphonaceae__1892263;g__Fischerella__1190;s__Fischerella sp. PCC 9605__1173024
Tenuibacillus multivorans,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Tenuibacillus__286800;s__Tenuibacillus multivorans__237069
Cyanobium sp. PCC 9005,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Prochlorococcaceae__2881426;g__Cyanobium__167375;s__Cyanobium sp. PCC 9005__115748
Caldisericum exile,species,sk__Bacteria__2;p__Caldisericota__67814;c__Caldisericia__693071;o__Caldisericales__693072;f__Caldisericaceae__693073;g__Caldisericum__693074;s__Caldisericum exile__693075
Caldisericia,class,sk__Bacteria__2;p__Caldisericota__67814;c__Caldisericia__693071
Caldisericum,genus,sk__Bacteria__2;p__Caldisericota__67814;c__Caldisericia__693071;o__Caldisericales__693072;f__Caldisericaceae__693073;g__Caldisericum__693074
Streptomyces varsoviensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kitasatosporales__85011;f__Streptomycetaceae__2062;g__Streptomyces__1883;s__Streptomyces varsoviensis__67373
Marinococcus halophilus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Marinococcus__1370;s__Marinococcus halophilus__1371
Caldisericales,order,sk__Bacteria__2;p__Caldisericota__67814;c__Caldisericia__693071;o__Caldisericales__693072
Sporolactobacillus nakayamae,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Sporolactobacillaceae__186821;g__Sporolactobacillus__2077;s__Sporolactobacillus nakayamae__269670
Frankia casuarinae,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Frankiales__85013;f__Frankiaceae__74712;g__Frankia__1854;s__Frankia casuarinae__106370
Mycoplasmopsis gallinarum,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mycoplasmopsis__2767358;s__Mycoplasmopsis gallinarum__29557
marine bacillus NRRLB-14910,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;s__marine bacillus NRRLB-14910__99372
Acidiphilium multivorum,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodospirillales__204441;f__Acetobacteraceae__433;g__Acidiphilium__522;s__Acidiphilium multivorum__62140
Psychrobacter immobilis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Moraxellales__2887326;f__Moraxellaceae__468;g__Psychrobacter__497;s__Psychrobacter immobilis__498
Endozoicomonas montiporae,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Endozoicomonadaceae__2066474;g__Endozoicomonas__305899;s__Endozoicomonas montiporae__1027273
Alteromonas naphthalenivorans,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Alteromonadaceae__72275;g__Alteromonas__226;s__Alteromonas naphthalenivorans__715451
Mesomycoplasma dispar,species,sk__Bacteria__2;p__Mycoplasmatota__544448;o__Mycoplasmoidales__2790996;f__Metamycoplasmataceae__2895623;g__Mesomycoplasma__2923352;s__Mesomycoplasma dispar__86660
Alcaligenes aquatilis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Alcaligenaceae__506;g__Alcaligenes__507;s__Alcaligenes aquatilis__323284
Helicobacter bizzozeronii,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Helicobacteraceae__72293;g__Helicobacter__209;s__Helicobacter bizzozeronii__56877
Spirochaeta isovalerica,species,sk__Bacteria__2;p__Spirochaetota__203691;c__Spirochaetia__203692;o__Spirochaetales__136;f__Spirochaetaceae__137;g__Spirochaeta__146;s__Spirochaeta isovalerica__150
Pseudozobellia thermophila,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Flavobacteriaceae__49546;g__Pseudozobellia__633413;s__Pseudozobellia thermophila__192903
Limibacter armeniacum,species,sk__Bacteria__2;p__Bacteroidota__976;c__Cytophagia__768503;o__Cytophagales__768507;f__Flammeovirgaceae__200667;g__Limibacter__518746;s__Limibacter armeniacum__466084
Allocoleopsis franciscana,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Coleofasciculales__3079753;f__Coleofasciculaceae__1892251;g__Allocoleopsis__2886347;s__Allocoleopsis franciscana__2886352
Pseudoalteromonas haloplanktis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Pseudoalteromonadaceae__267888;g__Pseudoalteromonas__53246;s__Pseudoalteromonas haloplanktis__228
Brevibacterium antiquum,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Brevibacteriaceae__85019;g__Brevibacterium__1696;s__Brevibacterium antiquum__234835
Hymenobacter roseosalivarius,species,sk__Bacteria__2;p__Bacteroidota__976;c__Cytophagia__768503;o__Cytophagales__768507;f__Hymenobacteraceae__1853232;g__Hymenobacter__89966;s__Hymenobacter roseosalivarius__89967
Shewanella pealeana,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Shewanellaceae__267890;g__Shewanella__22;s__Shewanella pealeana__70864
Marinobacter sp. NBRC 101712,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pseudomonadales__72274;f__Marinobacteraceae__2887365;g__Marinobacter__2742;s__Marinobacter sp. NBRC 101712__1113805
Helicobacter felis,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Helicobacteraceae__72293;g__Helicobacter__209;s__Helicobacter felis__214
Erwinia tracheiphila,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Erwiniaceae__1903409;g__Erwinia__551;s__Erwinia tracheiphila__65700
Teretinema zuelzerae,species,sk__Bacteria__2;p__Spirochaetota__203691;c__Spirochaetia__203692;o__Spirochaetales__136;f__Treponemataceae__2845253;g__Teretinema__2967963;s__Teretinema zuelzerae__156
Aster yellows witches'-broom phytoplasma,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Acholeplasmatales__186329;f__Acholeplasmataceae__2146;g__Candidatus Phytoplasma__33926;s__Aster yellows witches'-broom phytoplasma__229545
Mycobacterium leprae,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Mycobacteriaceae__1762;g__Mycobacterium__1763;s__Mycobacterium leprae__1769
Helicobacter fennelliae,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Helicobacteraceae__72293;g__Helicobacter__209;s__Helicobacter fennelliae__215
Lacticaseibacillus camelliae,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Lacticaseibacillus__2759736;s__Lacticaseibacillus camelliae__381742
Waddlia chondrophila,species,sk__Bacteria__2;p__Chlamydiota__204428;c__Chlamydiia__204429;o__Parachlamydiales__1963360;f__Waddliaceae__92714;g__Waddlia__71666;s__Waddlia chondrophila__71667
Desulfocicer vacuolatum,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfobacteria__3024418;o__Desulfobacterales__213118;f__Desulfobacteraceae__213119;g__Desulfocicer__2904316;s__Desulfocicer vacuolatum__2298
Streptomyces sp. NRRL S-575,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kitasatosporales__85011;f__Streptomycetaceae__2062;g__Streptomyces__1883;s__Streptomyces sp. NRRL S-575__1463915
Endozoicomonas numazuensis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Endozoicomonadaceae__2066474;g__Endozoicomonas__305899;s__Endozoicomonas numazuensis__1137799
Megamonas hypermegale,species,sk__Bacteria__2;p__Bacillota__1239;c__Negativicutes__909932;o__Selenomonadales__909929;f__Selenomonadaceae__1843491;g__Megamonas__158846;s__Megamonas hypermegale__158847
Prevotella dentasini,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Prevotellaceae__171552;g__Prevotella__838;s__Prevotella dentasini__589537
Methylophaga nitratireducenticrescens,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Piscirickettsiaceae__135616;g__Methylophaga__40222;s__Methylophaga nitratireducenticrescens__754476
Desulfovibrio piger,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfovibrionia__3031449;o__Desulfovibrionales__213115;f__Desulfovibrionaceae__194924;g__Desulfovibrio__872;s__Desulfovibrio piger__901
Xylanibacter oryzae,species,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Bacteroidales__171549;f__Prevotellaceae__171552;g__Xylanibacter__558436;s__Xylanibacter oryzae__185293
Butyrivibrio fibrisolvens,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Butyrivibrio__830;s__Butyrivibrio fibrisolvens__831
Clostridium carnis,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Clostridium__1485;s__Clostridium carnis__1530
Deinococcus radiodurans,species,sk__Bacteria__2;p__Deinococcota__1297;c__Deinococci__188787;o__Deinococcales__118964;f__Deinococcaceae__183710;g__Deinococcus__1298;s__Deinococcus radiodurans__1299
Enterocloster aldenensis,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Enterocloster__2719313;s__Enterocloster aldenensis__358742
Acinetobacter haemolyticus,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Moraxellales__2887326;f__Moraxellaceae__468;g__Acinetobacter__469;s__Acinetobacter haemolyticus__29430
